Role Name,Alternative Titles,Level,Department,Primary Responsibilities,Reporting Structure,Scope,Source1,Source2,Evidence Snippet,Confidence Level
Director of Nursing,DON; DNS; Director of Nursing Services,Facility,Nursing leadership,Oversees nursing services; ensures RN coverage and competencies; leads nursing operations,Typically reports to Administrator,Single facility,CMS nursing services 7,Life Care DON profile 8,CMS requires a full-time RN to serve as DON.,High
Assistant Director of Nursing,ADON,Facility,Nursing leadership,Supports DON; fills leadership gaps; helps oversee day-to-day nursing operations,Reports to DON,Single facility,ADON job evidence 9,Additional ADON job evidence 10,Repeated SNF postings show ADON as a standard facility leadership role.,High
Unit-level nursing leadership,Unit Manager; Charge Nurse; RN Supervisor,Facility,Nursing leadership,Supervises unit operations; covers shifts; manages bedside staff and resident flow,Usually reports to DON/ADON,Single facility,CMS charge nurse requirement 7,Unit manager job evidence 11,CMS names charge nurse; job market shows unit manager and RN supervisor variants.,High
Licensed nursing staff,RN; LPN; LVN,Facility,Nursing,"Provides resident care, assessments, medication/treatment oversight, supervision of aides",Reports to unit leadership/DON,Single facility,CMS nursing services 7,Genesis facility clinical roster 12,SNFs must provide licensed nurses; operator pages show RNs and advanced nursing staffing.,High
Nurse aide workforce,CNA; Nurse Aide; Medication Aide; Med Tech; Medication Assistant,Facility,Nursing support,Delivers ADL care; supports resident needs; in some states administers meds under nurse supervision,Reports to licensed nurse/unit lead,Single facility,CMS nurse aide rules and supervised unlicensed medication administration 7,Genesis nurse aide training and medication aide evidence 13,Nurse aides are core SNF staff; medication aide use is state-dependent.,High
MDS Coordinator,RNAC; MDS Nurse; LPN MDS Coordinator,Facility,Assessment / Reimbursement,Coordinates resident assessment process; completes/transmits MDS; supports care plans and reimbursement accuracy,Usually reports to DON or clinical/reimbursement leadership,Single facility,CMS resident assessment rules 14,AHCA MDS team and job evidence 15,CMS requires RN coordination/signoff; AHCA and job postings show dedicated MDS roles.,High
Infection Preventionist,IP; Infection Control Nurse; Infection Prevention Nurse,Facility,Infection control/Quality,Runs IPCP; surveillance; training; antibiotic stewardship; QA committee participation,Often reports through nursing/quality leadership,Single facility,CMS infection control rules 16,AHCA/LeadingAge infection prevention guidance 17,CMS requires one or more designated Infection Preventionists.,High
Staff development leadership,Staff Development Coordinator; Clinical Educator,Facility,Education / Quality,Trains staff; supports competency validation; often paired with IP/quality functions,Usually reports to DON,Single facility,Staff development role evidence 18,Infection-prevention training for leadership and department leads 19,In practice this role is common and often cross-linked with education/IP duties.,Medium
Wound and quality nursing,Wound Care Nurse; Treatment Nurse; QA Nurse; QAPI Nurse,Facility,Nursing quality,Manages wounds/treatments; audits documentation; drives quality improvement and compliance,Usually reports to DON/Administrator,Single facility,Wound/quality role evidence 20,Life Care wound-program evidence 21,Frequently present in practice; exact title varies by facility.,Medium
Medical Director,On-site Medical Director,Facility,Medical oversight,Organizes and coordinates medical care; supports clinical governance; receives pharmacist irregularity reports,Usually part-time/consulting to facility leadership,Single facility or contracted,Pharmacy rule reference to medical director 22,Genesis medical director pages 23,Official sources show medical director as a real SNF oversight role.,High
Physician and advanced practice coverage,Attending Physician; Physician; Nurse Practitioner; Physician Assistant; Clinical Nurse Specialist,Facility,Medical care,Provides orders and visits; supervises medical care; supports diet/therapy orders where allowed,"Collaborates with Administrator, DON, Medical Director",Single facility or contracted,CMS physician services 24,Genesis facility pages with NP/physician coverage 12,"CMS explicitly names physician, PA, NP, and CNS in SNF care.",High
Consultant pharmacist,Licensed Pharmacist; Consultant Pharmacist,Facility,Pharmacy,Reviews drug regimens monthly; consults on pharmacy services; reports irregularities,"Usually consultant to attending physician, medical director, DON",Single facility or contracted,CMS pharmacy services 22,—,"Pharmacy consultation is explicitly required, even if not directly employed.",High
Director of Rehabilitation,DOR; Rehab Services Manager; Rehab Director,Facility,Rehabilitation leadership,Leads therapy program; manages rehab staff and scheduling; aligns therapy with care plans and reimbursement,Usually reports to Administrator or shared therapy entity,Single facility,Life Care rehab-leadership evidence 25,Director of rehab job evidence 26,Official/operator and job evidence confirm dedicated rehab leadership roles.,High
Therapy team,PT; PTA; OT; COTA/OTA; SLP; Speech Therapist; Respiratory Therapist,Facility,Rehabilitation,Delivers therapy under physician order; supports care goals and discharge readiness,Reports to DOR or therapy leadership,Single facility or contracted,CMS rehab rules and Genesis rehab pages 27,Genesis respiratory/therapy pages and therapy job evidence 28,Therapy roles are core to modern post-acute SNF operations.,High
Social services leadership,Social Worker; Director of Social Services; Social Services Designee,Facility,Social services,Addresses psychosocial needs; resident/family support; discharge support and advocacy,Usually reports to Administrator; collaborates with DON/MDS,Single facility,CMS social worker requirement 4,Life Care social-services evidence 29,CMS requires a qualified social worker in larger facilities; providers also use director/designee variants.,High
Case management and discharge planning,Case Manager; Care Manager; Discharge Planner,Facility,Case management,Coordinates discharge planning; concurrent reviews; transitions and community return,"Cross-functional with nursing, rehab, social services, admissions",Single facility,CMS care planning/discharge rules 30,Genesis managed-care and case-management evidence 31,SNFs use discharge/care-management functions even when titles vary.,High
Food and nutrition leadership,Director of Food and Nutrition Services; Dietary Manager; Food Service Manager; Certified Dietary Manager,Facility,Dietary/Nutrition,Manages food and nutrition services; sanitation and food safety; participates on interdisciplinary team,Usually reports to Administrator,Single facility,CMS food and nutrition staffing rule 32,AHCA title/pathway guidance 33,"Title variation is common, but the function is formally required.",High
Dietitian/nutrition professional,Registered Dietitian; Nutrition Professional,Facility,Dietary / Nutrition clinical,Nutrition assessments; menu review; therapeutic diet support; interdisciplinary participation,May report to Administrator or consult to dietary department,Single facility or contracted,CMS food and nutrition staffing rule 32,Skilled nursing dietitian role evidence 34,"CMS allows full-time, part-time, or consultant dietitian coverage.",High
